id,topic_name,topic_keywords,website_id,is_active,recommendation_text,reporting_text,priority,created_at
00194e92-c7bf-40f4-976d-25efd1f8a22a,Repairability warranty and support services,"[""warranty tiers"",""advance replacement"",""repairability"",""technical support"",""spare parts"",""support docs"",""diagnostics"",""RMA process"",""on-site repair"",""replacement modules""]",07adfb0f-daf8-4b87-b9eb-8c70253bf6f7,true,,,1,2025-09-08 12:57:28.097088+00
012c522a-2a57-43d1-996c-813721cbdc5f,Educational classroom gaming tools,"[""Education Edition"",""lesson library"",""classroom management"",""coding lessons"",""MS365 integration"",""teacher resources"",""student accounts"",""educational worlds"",""assessment tools"",""learning objectives""]",40ebef54-a8a1-41b8-9fa1-84fadc85626d,true,,,1,2025-09-05 10:25:48.775842+00
0135bf79-e8ea-4f69-b189-d21cda45bc68,"Trucks, SUVs, and utility vehicle lineup","[""pickup trucks"",""mid-size SUV"",""full-size truck"",""towing capacity"",""off-road trims"",""trail edition"",""seating capacity"",""cargo volume"",""bed accessories"",""powertrain options""]",d6d96ecb-dcea-4043-ba50-04b780c182b0,true,,,1,2025-09-08 09:19:17.028255+00
031ae056-b9db-44a4-9d3f-2fb4f26f1cce,Dasher driver earning platform,"[""driver onboarding"",""delivery driver app"",""earnings dashboard"",""driver incentives"",""flexible delivery work"",""route optimization"",""driver safety"",""payout scheduling"",""driver support"",""dash along the way""]",87f37f33-0347-4efc-8fde-8bd2da2fd239,true,,,1,2025-09-08 13:46:18.026113+00
06e08b3f-192d-4558-a442-ff2cb4eb9e57,Parenting support and lifestyle advice,"[""parenting styles"",""parenthood realities"",""self care for parents"",""parenting challenges"",""parental mental health"",""family dynamics"",""parenting tips"",""work-life balance for parents"",""parenting community support"",""realistic parenting approach""]",3d001afc-a964-4ec3-ae24-73c45f0fcdac,true,,,1,2025-07-19 10:02:32.734643+00
077800ef-4bda-4f90-af21-d0b81c2a2e23,Freeing teams to focus on high-value work,"[""team productivity"",""high-value work focus"",""automation freeing staff"",""employee efficiency"",""resource allocation"",""automation impact"",""improving workforce focus"",""automation support"",""human-AI collaboration"",""employee time optimization""]",f12384ff-d973-4ba6-9e93-02a92869e3a0,true,,,1,2025-07-18 16:48:03.3727+00
07b50208-34d9-4292-a504-ad8e8f4a5e8f,Consumer and business computing solutions,"[""laptops for work"",""business desktops"",""professional workstations"",""PCs for creators"",""hybrid work laptops"",""AI-powered computers"",""energy efficient PCs"",""elite business computers"",""home laptops"",""PC lifecycle management""]",be7ee060-51a5-4d06-a8ec-2da8faabc25f,true,,,1,2025-08-08 20:58:19.531584+00
0893e2da-517e-4c62-aa96-252773a29f3b,Sustainable aviation and fleet modernization,"[""modern fleet"",""fuel efficiency"",""carbon emissions"",""sustainable aviation fuel"",""fleet renewal"",""noise reduction"",""eco initiatives"",""operational efficiency"",""carbon offset"",""green targets""]",637dddf1-20dd-4d1c-841b-a500649ff027,true,,,1,2025-09-04 14:02:58.611778+00
09bcd9a8-1bdb-4ebb-b891-563ed1304f84,Subscription-based meal kit delivery service,"[""meal kit delivery"",""weekly meal kits"",""fresh ingredients delivery"",""pre-portioned meals"",""dinner kits"",""home cooking kits"",""meal subscription"",""recipe kits"",""convenient cooking"",""food delivery""]",4eb94b7e-2328-46ad-a202-0e0706f19f7b,true,,,1,2025-08-06 10:55:30.589606+00
09f7db63-8eae-4b68-8647-61c69b39f220,Online vehicle shopping and configurator tools,"[""online configurator"",""build and price"",""digital retail"",""SmartPath"",""virtual showroom"",""dealer locator"",""build-to-order"",""contactless purchase"",""payment estimator"",""online trade-in""]",d6d96ecb-dcea-4043-ba50-04b780c182b0,true,,,1,2025-09-08 09:19:16.585521+00
0a71683d-24d1-43de-b521-fbc42706062c,Sustainable packaging and circular systems,"[""circular packaging"",""recycled content"",""packaging collection"",""bottle recycling"",""material innovation"",""closed-loop systems"",""packaging targets"",""eco-friendly packaging"",""packaging policy"",""collection rates""]",1fda486d-6e9e-408d-9f89-1ce66bd729d9,true,,,1,2025-08-15 07:02:08.166805+00
0bca13ac-ae7f-43bc-b1e2-1914006d4453,Points earning and redemption strategies,"[""points earning"",""points redemption"",""free nights"",""cash + points"",""5th night free"",""bonus points"",""award charts"",""points transfer"",""points pooling"",""redemption value""]",010b9706-0173-460e-a691-cdb9481aaf0f,true,,,1,2025-08-26 10:20:04.354434+00
0be87582-04a5-418f-81ed-f39c128f6da3,Contact and Support Services for Parents,"[""customer support parenting"",""parenting help contact"",""product inquiries"",""membership support"",""baby care assistance"",""order support"",""parenting resource contact"",""help with baby box"",""customer service info"",""parenting advice contact""]",ae0b55c8-929c-48b7-b462-37f6717307e7,true,,,1,2025-07-22 16:08:37.567804+00
0c474fca-2b77-4ed5-ad5a-269f3211d45a,Mobile gaming integrated with streaming services,"[""streaming service games"",""mobile gaming apps"",""games included subscription"",""in-app gaming"",""game streaming features"",""interactive gaming content"",""mobile entertainment"",""subscription gaming access"",""game integration"",""casual mobile games""]",8d974e4b-8b22-4a77-bac9-299030c99de1,true,,,1,2025-08-05 15:35:47.331998+00
0c793e0d-7e24-434f-9759-d42c2a3f7c6c,Lending and margin solutions,"[""margin loans"",""pledged asset line"",""securities-backed loan"",""home equity products"",""loan rates"",""margin interest"",""loan collateral"",""credit lines"",""borrow against investments"",""loan approval""]",cad190c5-78c9-4b96-8e13-56a23fea64b9,true,,,1,2025-08-26 06:49:35.500009+00
0c834174-092f-4544-97d5-f8e4c58437ad,Merchant online ordering solutions,"[""commission-free storefronts"",""branded online ordering"",""merchant mobile apps"",""direct orders"",""online checkout"",""order integrations"",""POS integrations"",""storefront templates"",""order management"",""customer retention""]",87f37f33-0347-4efc-8fde-8bd2da2fd239,true,,,1,2025-09-08 13:46:17.578295+00
0d781bc4-2a1e-4343-a6f0-59c2e70febf4,"Delivery, installation and haul-away services","[""white-glove delivery"",""installation services"",""appliance haul-away"",""scheduled delivery"",""in-home setup"",""recycling pickup"",""delivery windows"",""heavy appliance delivery"",""professional installers"",""installation scheduling""]",2c1395d1-f0e9-4987-8d7d-669cb649197f,true,,,1,2025-09-02 18:42:58.042225+00
0f436cd4-1286-4ac6-9df2-d67b0a7b79ed,Connected smart home solutions,"[""SmartThings"",""AI Home"",""smart appliances"",""home automation"",""connected devices"",""voice assistants"",""sensors"",""energy monitoring"",""home screens"",""remote control""]",c5f13938-4141-49c4-9763-3a9053813ae7,true,,,1,2025-08-12 13:21:06.509882+00
132dc1ef-6c4f-4e55-93a1-99107c52ee98,International scheduled passenger flights,"[""long-haul flights"",""global network"",""flight schedules"",""route map"",""non-stop flights"",""premium cabins"",""fare types"",""check-in options"",""baggage allowance"",""flight status""]",637dddf1-20dd-4d1c-841b-a500649ff027,true,,,1,2025-09-04 14:02:57.753877+00
1507b864-65ea-4190-95da-72cbf2a189fc,Wealth management and advisory services,"[""personalized financial advice"",""wealth advisory"",""fiduciary advisors"",""managed accounts"",""financial consultants"",""portfolio customization"",""advisor fees"",""wealth planning"",""financial goals"",""high-net-worth services""]",cad190c5-78c9-4b96-8e13-56a23fea64b9,true,,,1,2025-08-26 06:49:34.771834+00
150c59d4-3a8f-477e-8f38-266aed21979b,Media-rich dating profiles,"[""photo-focused profiles"",""video profiles"",""audio clips"",""profile media"",""media-rich profiles"",""photo prompts"",""video dating"",""profile galleries"",""visual profiles"",""media uploads""]",65b5aadd-1687-48d4-9e18-5029ba1a2b1f,true,,,1,2025-08-25 15:18:34.972162+00
1836eae3-98a5-4fb2-8fd3-39a1d5d1903f,Integrated banking and investment accounts,"[""cash management account"",""bank-investment integration"",""account linking"",""debit and checking features"",""sweep program"",""linked accounts"",""cash management tools"",""FDIC protection"",""mobile banking integration"",""transfer automation""]",dc8a0148-cbd2-4f6e-93a2-3aee1e755161,true,,,1,2025-09-02 08:15:34.078548+00
19325c95-96af-4f14-868a-08078661d0e5,Security and enterprise governance,"[""enterprise security"",""SSO"",""SCIM"",""data controls"",""permissions"",""data residency"",""audit logs"",""compliance features"",""governance"",""admin controls""]",aec77d16-7cd4-4547-ad11-ff9ba464e20e,true,,,1,2025-09-05 13:23:59.910911+00
193de5dd-a4b9-4ac0-8932-d8f9c19a8e2a,Technology logistics and vending innovations,"[""automation logistics"",""cashless vending"",""EDI systems"",""distribution technology"",""route optimization"",""vending IoT"",""e-commerce logistics"",""last-mile delivery"",""logistics automation"",""digital payments""]",1fda486d-6e9e-408d-9f89-1ce66bd729d9,true,,,1,2025-08-15 07:03:08.385994+00
19a52fef-41e4-4665-8c34-58a4d746d423,Managed private server hosting,"[""Realms alternative"",""managed servers"",""server subscriptions"",""automatic backups"",""world slots"",""private hosting"",""server uptime"",""invite-only worlds"",""server management"",""server tiers""]",40ebef54-a8a1-41b8-9fa1-84fadc85626d,true,,,1,2025-09-05 10:25:48.580395+00
1ddd9720-b494-4345-b866-89bd32686a07,Design Education And Community,"[""education program"",""student licenses"",""community files"",""UI kits"",""templates library"",""teaching resources"",""workshop curriculum"",""community plugins"",""learning resources"",""nonprofit access""]",879fe311-9642-42b9-b8a8-ab25c28cc9f9,true,,,1,2025-08-26 08:04:10.178816+00
